PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,SCS,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG
0,7.342579754416429,2.112452587718378,0.7055967128749189,0.3773520016490242,495,46.505712647497646,36.26478118664093,,1,2,,1,1,0.02497205,801.43,728.17,364.2,741.87,41.35272957422548,11.76602082
0,5.032666940898267,3.5622077400717456,0.7393691326920685,0.1565565508911304,123,67.1144738229949,75.34196246266359,,0,0,,1,0,0.02497205,267.3,157.62,4377.75,457.08,85.57149326456494,11.76288775
0,5.014746363282794,2.144370719535952,0.689154028889001,0.2113814873134336,616,55.127878926128034,69.30039048328447,,0,1,,0,2,1.1278155,1225.98,208.77,1403.17,341.99,92.97381996090162,11.44531527
0,5.0135489242045335,2.0018751996760797,0.7586966164587283,0.3190691956355669,488,60.49657203839024,35.29622589056014,,0,1,,0,1,0.9856119999999999,210.64,762.82,1730.07,368.56,65.43588681550739,12.26656823
0,6.543547074545778,2.124883647365218,0.7487624854760565,0.2947857853441664,451,95.88117621404476,48.49478916447636,,1,1,,0,1,0.0,526.6,250.38,305.31,750.11,72.16884241792236,11.21870049
0,6.904512764189174,3.5498892959534496,0.7484049162800168,0.145386012748805,687,36.644766055698,37.458079935558345,,1,2,,1,0,0.02497205,169.43,713.47,3733.34,215.79,37.89040178836479,11.34362422
4,5.03354381937111,3.905677109021573,0.562655721768525,0.3664980287819737,1,98.64901344900764,68.26801272694195,,0,1,,0,2,0.02497205,2865.39,191.72,2906.42,194.69,99.83752230357378,11.26618748
0,5.012123783714279,4.096717143577175,0.7470116822492745,0.1364779087280628,339,39.65554320267709,39.79969598876168,,1,0,,0,0,0.0,331.56,160.89,2208.45,330.22,79.19369439656234,11.40369547
0,5.029840072648926,2.1422925793808383,0.7630102711107425,0.2976771422911014,145,39.913905917137015,43.69931017602339,,0,0,,1,1,0.02497205,1976.28,407.9,2528.11,229.78,81.16856915876755,12.05550181
0,5.034878932438993,2.0567823733595803,0.7488458532795361,0.1589739398031621,317,46.1055021823104,65.35952583637699,,1,0,,1,2,0.0,374.45,179.26,4048.1,687.35,93.7022895920026,11.25151536
